outer_x,outer_y,outer_z,inner_x,inner_y,inner_z
605000.7751,5805494.541,4.170527882,604991.0676,5805494.8,4.502704221
605000.983,5805484.719,4.224199299,604991.5512,5805485.174,4.348268321
605001.1777,5805475.46,4.386889349,604991.773,5805476.417,4.28892231
605001.3698,5805466.34,4.672730523,604991.6619,5805468.567,4.34322892
605000.7004,5805457.672,5.051567401,604990.9629,5805460.772,4.496760043
604998.8871,5805449.622,5.467051352,604989.5928,5805453.196,4.719941167
604996.1567,5805441.86,5.858987404,604987.3768,5805446.029,4.982925574
604992.4788,5805434.115,6.165531473,604983.5411,5805440.062,5.248974605
604987.6259,5805427.082,6.359297328,604979.3524,5805434.442,5.492973363
604980.8289,5805421.586,6.447412526,604974.2163,5805429.508,5.699424447
604973.711,5805417.377,6.453446671,604968.0809,5805425.411,5.852329952
604966.0952,5805413.779,6.393188017,604961.508,5805421.852,5.948980188
604958.4175,5805410.644,6.291371746,604954.4678,5805418.628,5.98776886
604950.662,5805407.763,6.179484393,604947.0621,5805415.681,5.981346525
604942.7017,5805404.806,6.072881563,604939.3871,5805412.912,5.952825041
604934.6232,5805401.806,5.967192481,604931.4504,5805410.049,5.885597874
604926.3538,5805398.733,5.829026714,604923.2642,5805407.097,5.773287586
604918.8823,5805395.958,5.674374994,604915.8395,5805404.418,5.64200138
604912.2897,5805393.51,5.515340671,604909.2091,5805402.026,5.517987236
604906.3597,5805391.307,5.356457456,604903.1702,5805399.848,5.402558681
604901.132,5805389.365,5.205370786,604897.8131,5805397.916,5.301152486
604896.4877,5805387.641,5.057521288,604893.0051,5805396.181,5.212482204
604892.4175,5805385.903,4.914497866,604888.6208,5805394.599,5.137827616
604888.8956,5805384.058,4.775567868,604884.5206,5805393.05,5.074587034
604885.9624,5805382.252,4.641182956,604880.6705,5805391.147,5.019647316
604883.3211,5805380.203,4.51232433,604877.4569,5805389.074,4.968613378
604880.9636,5805378.221,4.385740422,604874.5087,5805386.8,4.918018988
604879.0075,5805376.312,4.263825629,604871.7377,5805384.2,4.865268367
604877.3117,5805374.516,4.147637667,604869.1873,5805381.387,4.812578418
604875.8393,5805372.522,4.0363825,604866.9492,5805378.517,4.757439869
604874.4447,5805370.646,3.934110356,604864.9104,5805375.44,4.701760119
604873.1398,5805368.695,3.836140248,604863.151,5805372.167,4.645941996
604871.9631,5805366.319,3.745957553,604861.7412,5805369.04,4.590510393
604871.0567,5805363.711,3.660740639,604860.6072,5805365.973,4.534520391
604870.5749,5805360.998,3.58719375,604859.893,5805362.834,4.48147954
604870.23,5805358.365,3.52564043,604859.2105,5805359.542,4.430349165
604870.1061,5805355.805,3.476296766,604858.9825,5805355.978,4.383713599
604870.2684,5805353.412,3.440272071,604859.1122,5805352.037,4.347988379
604870.4478,5805350.789,3.418519299,604859.5951,5805348.366,4.324588121
604870.9604,5805348.031,3.414445291,604860.3486,5805344.848,4.3152059
604871.7524,5805345.286,3.42835489,604861.4056,5805341.341,4.322563432
604872.6392,5805342.712,3.460977865,604863.0253,5805337.524,4.346079559
604874.1012,5805340.216,3.515120711,604864.9557,5805334.084,4.387564217
604875.6382,5805337.592,3.58690423,604867.1421,5805331.009,4.449205321
604877.3737,5805334.95,3.676835836,604869.463,5805328.156,4.530092821
604879.4484,5805332.519,3.786226437,604872.1244,5805325.437,4.631230178
604881.8125,5805330.425,3.913275652,604875.3606,5805322.839,4.751099681
604884.3088,5805328.736,4.058136836,604879.3151,5805320.236,4.888888923
604887.1485,5805327.266,4.218398517,604883.1982,5805317.793,5.043606273
604890.3395,5805326.005,4.391175209,604887.2358,5805316.138,5.20912866
604893.795,5805325.046,4.576742725,604891.5094,5805315.158,5.385454698
604897.4386,5805324.268,4.771203264,604895.8774,5805314.474,5.566218414
604901.305,5805323.941,4.976241017,604900.2853,5805313.996,5.745774245
604905.3539,5805323.766,5.191416429,604904.8019,5805314.21,5.920912612
604909.5511,5805324.253,5.416477615,604909.4637,5805313.841,6.08716668
604913.6501,5805325.021,5.647278511,604914.5671,5805315.084,6.242963526
604917.7013,5805326.287,5.885904234,604919.7321,5805316.506,6.396665194
604922.1947,5805327.693,6.132073579,604924.6283,5805317.974,6.555212274
604926.7527,5805329.119,6.383023202,604929.7705,5805319.663,6.724698952
604931.6367,5805330.843,6.639169171,604934.8545,5805321.664,6.90824394
604936.7935,5805332.754,6.907113444,604940.0712,5805323.717,7.116756993
604942.1909,5805334.754,7.192289771,604945.4829,5805325.847,7.355980827
604947.8176,5805336.839,7.491269097,604951.119,5805328.018,7.62597273
604953.6703,5805339.007,7.801209895,604957.0317,5805330.107,7.920656482
604959.746,5805341.259,8.127378147,604963.1643,5805332.273,8.235941274
604966.0423,5805343.591,8.458387697,604969.5119,5805334.515,8.570496698
604972.5689,5805346.01,8.805868738,604976.0546,5805336.826,8.899550209
604979.3033,5805348.505,9.16288984,604982.4368,5805340.174,9.214858683
604986.2373,5805351.074,9.52146731,604989.433,5805342.479,9.507262073
604993.3696,5805353.717,9.877615127,604996.6106,5805344.841,9.76976577
605000.7317,5805356.376,10.2168044,605003.9646,5805347.265,10.00097516
605008.3676,5805359.049,10.53228681,605011.4766,5805349.749,10.2048258
605016.3982,5805361.617,10.81140025,605019.1106,5805352.275,10.36810109
605024.6282,5805364.211,11.05127565,605027.1077,5805354.635,10.48084762
605033.1789,5805366.512,11.24108698,605035.3952,5805357.068,10.54976871
605042.0205,5805368.729,11.35883731,605044.0825,5805359.101,10.56922507
605051.3196,5805370.657,11.39458312,605053.0369,5805361.039,10.52475501
605061.0225,5805372.113,11.33756663,605062.4065,5805362.43,10.41053563
605071.1179,5805373.069,11.18683819,605072.1474,5805363.486,10.22602546
605081.6109,5805373.798,10.94184842,605082.2355,5805364.082,9.95874385
605092.4685,5805374.357,10.61716024,605092.6955,5805364.218,9.625208279
605103.6777,5805374.456,10.1975047,605103.5531,5805364.067,9.24892217
605115.2329,5805373.945,9.677031188,605114.8138,5805363.663,8.811793836
605127.2511,5805372.9,9.04977939,605126.3892,5805363.274,8.315307025
605139.546,5805371.435,8.345027726,605138.438,5805362.34,7.755845493
605152.1317,5805369.459,7.586410271,605150.8833,5805360.779,7.148759074
605165.0132,5805366.944,6.794486045,605163.6887,5805358.668,6.496039672
605178.216,5805364.091,6.013394475,605176.8103,5805355.956,5.841309651
605191.7631,5805361.164,5.277694987,605190.3535,5805353.155,5.274385055
605205.6627,5805358.163,4.663809722,605204.321,5805350.268,4.823022728
605219.9894,5805355.472,4.208240089,605218.7254,5805347.482,4.575874325
605234.7257,5805353.56,3.901315383,605233.8215,5805345.525,4.487474805
605249.676,5805352.858,3.736320805,605250.0495,5805345.003,4.460513958
605265.2166,5805353.571,3.699204342,605266.0914,5805345.788,4.465208505
605280.9346,5805355.905,3.708209643,605282.3708,5805347.941,4.49770762
605296.4405,5805360.171,3.69045448,605299.1556,5805352.04,4.497037027
605311.7758,5805366.31,3.664168615,605315.1033,5805358.007,4.414032113
605326.5847,5805373.942,3.726892046,605331.1264,5805365.614,4.28336397
605341.5265,5805382.401,3.963478143,605346.1065,5805374.493,4.24553228
605356.4028,5805391.638,4.407762495,605360.9893,5805383.851,4.439579209
605371.5389,5805401.091,5.130427764,605375.6509,5805393.846,4.92336502
605386.9523,5805410.718,6.19072067,605391.0074,5805402.952,5.73484518
605403.1651,5805419.723,7.356453773,605406.6905,5805411.737,6.678977376
605420.5637,5805426.694,8.410154179,605423.6055,5805418.293,7.604350463
605439.1706,5805431.781,9.302334135,605440.9427,5805423.324,8.542037178
605458.0311,5805434.885,10.04911673,605459.1148,5805426.39,9.484954135
605477.1585,5805435.831,10.58239551,605477.8056,5805427.19,10.27292478
605496.4649,5805435.352,10.92870878,605496.6998,5805427.073,10.82043274
605515.8934,5805434.549,11.1637482,605515.8669,5805426.524,11.16202872
605535.4486,5805434.139,11.2438522,605535.2569,5805425.969,11.28335367
605553.1961,5805433.792,11.14098079,605552.8872,5805425.466,11.17360326
605569.0292,5805433.236,10.93322239,605568.5801,5805424.739,10.88983711
605583.2204,5805432.442,10.70841571,605582.5538,5805423.893,10.48352231
605596.0652,5805431.273,10.47290199,605595.0297,5805422.616,10.01975966
605607.8735,5805429.482,10.18635297,605606.2524,5805420.933,9.548161159
605618.7951,5805426.888,9.825767001,605616.6167,5805418.74,9.073215788
605628.9421,5805423.324,9.390374623,605625.7585,5805415.947,8.587007852
605638.3409,5805418.999,8.905927611,605634.3606,5805412.146,8.095121169
605646.8849,5805413.801,8.398563646,605642.3278,5805407.131,7.59639999
605654.6165,5805407.834,7.891453853,605649.4517,5805401.474,7.083458105
605661.6997,5805401.447,7.399703731,605656.1602,5805395.798,6.563623278
605668.3776,5805394.872,6.930948626,605662.3185,5805389.536,6.070486482
605674.5397,5805387.649,6.481791245,605667.6593,5805382.717,5.610157874
605680.1365,5805379.691,6.064322518,605672.2836,5805375.416,5.19631298
605684.7985,5805371.127,5.693971915,605676.3078,5805367.305,4.831517224
605688.7487,5805361.893,5.391400274,605679.7357,5805358.892,4.528535043
605692.0498,5805352.205,5.150805548,605682.3114,5805349.838,4.299585365
605694.3176,5805341.952,4.980090531,605684.157,5805340.469,4.140450836
605695.2401,5805331.216,4.911229378,605685.3675,5805330.801,4.059834652
605694.9482,5805320.209,4.957398271,605685.64,5805320.781,4.082994409
605693.7566,5805309.046,5.093837616,605684.6352,5805310.49,4.220194066
605691.4019,5805297.785,5.281282106,605682.4008,5805300.126,4.457558806
605687.4821,5805286.565,5.505387972,605679.0225,5805289.993,4.775288075
605682.1064,5805275.868,5.76298278,605674.3656,5805279.96,5.149802869
605676.0071,5805265.573,6.025025101,605668.6553,5805269.899,5.545580204
605669.3032,5805255.47,6.285564507,605662.1758,5805259.857,5.913916287
605662.4826,5805245.183,6.543631203,605655.3179,5805249.706,6.237569111
605655.5152,5805234.677,6.742334987,605648.2887,5805239.3,6.486762361
605648.3886,5805223.93,6.859862306,605641.0979,5805228.655,6.660481144
605641.1018,5805212.94,6.912326503,605633.7449,5805217.77,6.773147231
605633.73,5805201.712,6.863149495,605626.1609,5805206.544,6.799353277
605626.4243,5805190.174,6.683854885,605618.3331,5805194.82,6.73584072
605619.6069,5805177.985,6.41228344,605610.4536,5805182.554,6.551804256
605613.8366,5805164.896,6.093863963,605602.643,5805169.724,6.25094193
605608.9032,5805151.327,5.780695408,605595.687,5805157.121,5.861540822
605604.4166,5805139.266,5.51735504,605589.9554,5805145.701,5.485060654
605599.8319,5805128.431,5.303455538,605584.8955,5805135.287,5.152817755
605595.0927,5805118.597,5.150679331,605580.4816,5805126.155,4.889968023
605590.626,5805109.326,5.04915575,605576.6214,5805117.766,4.678574471
605586.2165,5805100.392,4.982850924,605573.1445,5805110.073,4.49417561
605581.9392,5805092.145,4.938553638,605569.8263,5805101.996,4.343556497
605577.473,5805083.98,4.898386925,605566.6064,5805094.408,4.219625583
605571.9959,5805076.383,4.835160893,605562.4256,5805087.795,4.111762083
605563.8009,5805070.321,4.739564737,605556.899,5805082.782,4.009950231
605554.6953,5805066.299,4.60995144,605550.2264,5805079.693,3.91460409
605545.4301,5805064.002,4.461934291,605542.942,5805078.36,3.823714784
605537.3003,5805063.122,4.302466167,605535.0184,5805077.617,3.738876283
605528.9427,5805062.792,4.165738879,605526.7412,5805077.338,3.661915042
605520.0178,5805062.647,4.056164332,605518.3955,5805077.273,3.592887931
605510.8013,5805062.92,3.983282654,605509.8855,5805077.646,3.533353164
605501.3874,5805063.408,3.94920091,605501.3184,5805078.474,3.493550187
605491.7596,5805064.454,3.93928434,605492.6684,5805079.738,3.478225957
605481.926,5805065.932,3.936495325,605483.8449,5805081.129,3.47300227
605471.8798,5805067.729,3.926070326,605474.8051,5805083.041,3.470275553
605461.7225,5805070.049,3.920344322,605465.401,5805085.341,3.470430782
605451.235,5805073.222,3.914418336,605456.1212,5805087.995,3.467558981
605440.7481,5805077.275,3.913555355,605446.6502,5805091.349,3.462244128
605430.2329,5805082.107,3.913040611,605437.2232,5805095.639,3.453334791
605420.3316,5805087.251,3.893546319,605427.9305,5805100.234,3.449793512
605411.6488,5805092.145,3.885004139,605419.418,5805104.803,3.45195596
605404.2225,5805096.607,3.87990832,605412.1598,5805109.211,3.45785189
605397.751,5805100.701,3.900534906,605405.8129,5805113.124,3.466761807
605392.0533,5805104.57,3.93888233,605400.4049,5805116.857,3.473835568
605386.8947,5805108.072,3.985215744,605395.6722,5805120.26,3.482358957
605382.2881,5805111.47,4.032007694,605391.5725,5805123.412,3.488028546
605378.0425,5805114.795,4.078632916,605388.0981,5805126.366,3.491531794
605374.2696,5805118.545,4.12059191,605385.1699,5805128.881,3.491518808
605370.569,5805122.276,4.157540854,605382.8206,5805131.334,3.489961865
605367.3494,5805125.697,4.190932138,605380.249,5805134.034,3.487479127
605364.351,5805129.482,4.221477645,605377.935,5805136.676,3.485575826
605361.3699,5805133.854,4.247415609,605375.9628,5805139.316,3.484849679
605358.9775,5805138.494,4.268523549,605374.1504,5805142.296,3.483246845
605357.3819,5805143.605,4.277744862,605372.6535,5805145.563,3.480760986
605356.2883,5805148.969,4.277731804,605371.6961,5805149.062,3.477642069
605356.1984,5805154.319,4.267008173,605371.4817,5805152.771,3.474840095
605357.0482,5805159.722,4.247037197,605372.0959,5805156.456,3.471004008
605358.7343,5805164.709,4.220122058,605373.3091,5805160.113,3.468578677
605360.8224,5805169.286,4.188293478,605375.1723,5805163.663,3.467220271
605363.6809,5805173.489,4.150810448,605377.5647,5805167.02,3.465557461
605367.5874,5805177.743,4.112584528,605379.9356,5805169.925,3.464695611
605371.4684,5805181.457,4.0736552,605382.7011,5805172.721,3.46499311
605375.3907,5805184.868,4.038089261,605385.954,5805175.352,3.465901584
605379.7629,5805188.349,4.003935261,605389.0075,5805177.812,3.465923443
605384.2879,5805191.624,3.970882823,605392.4864,5805180.101,3.46477423
605388.9128,5805194.754,3.940125894,605396.3263,5805182.565,3.461899595
605393.7235,5805197.855,3.918101828,605400.6619,5805184.92,3.459554333
605398.9159,5805200.757,3.90877924,605405.3643,5805187.232,3.454250842
605404.6227,5805203.677,3.906837444,605410.1936,5805189.391,3.450350356
605410.7183,5805205.951,3.911810365,605415.6322,5805191.204,3.451071593
605417.2372,5805207.471,3.915046871,605421.5633,5805192.7,3.457321389
605424.0176,5805208.783,3.904653327,605427.8663,5805194.108,3.469969745
605431.0849,5805209.835,3.876018186,605434.559,5805195.245,3.491309851
605438.3681,5805210.919,3.832986704,605441.534,5805196.426,3.52804733
605445.8663,5805212.034,3.776811726,605448.8085,5805197.657,3.585150806
605453.457,5805213.386,3.709890997,605456.5617,5805199.019,3.654385781
605461.2598,5805214.982,3.638619515,605464.5272,5805200.738,3.727811335
605469.2025,5805217.123,3.57077075,605472.6832,5805202.914,3.792240764
605477.3774,5805219.393,3.51875024,605481.1054,5805205.237,3.841729485
605485.7834,5805221.748,3.491707594,605489.747,5805207.871,3.878027677
605493.9901,5805224.456,3.485297487,605498.2809,5805210.698,3.904289311
605501.5073,5805227.07,3.498665216,605506.1342,5805213.296,3.924849761
605508.519,5805229.658,3.527240812,605513.3906,5805216.144,3.948506411
605514.6542,5805232.204,3.562083886,605519.9239,5805218.727,3.976392676
605520.1764,5805234.495,3.595462624,605525.9438,5805221.116,4.007555858
605525.1851,5805236.573,3.627242708,605531.4681,5805223.703,4.040163354
605529.5559,5805238.667,3.655963041,605536.69,5805226.154,4.070534169
605533.6309,5805240.816,3.682864275,605541.2913,5805228.556,4.098042405
605537.2313,5805243.166,3.711312471,605545.6119,5805231.246,4.123161503
605540.2719,5805245.723,3.739785101,605549.7366,5805234.365,4.146438948
605542.7518,5805248.326,3.766945342,605553.7296,5805238.16,4.168310004
605544.9754,5805251.344,3.79587957,605556.9339,5805241.928,4.19182579
605546.946,5805254.316,3.821264919,605559.7282,5805245.859,4.214371187
605548.464,5805257.251,3.845479497,605562.1378,5805250.087,4.235393986
605549.504,5805259.953,3.870820566,605564.4584,5805255.123,4.256507275
605550.5278,5805263.034,3.89513791,605566.1339,5805259.904,4.278026238
605551.458,5805266.419,3.9198948,605567.0156,5805264.581,4.301843059
605551.9549,5805270.073,3.94466836,605567.7876,5805269.174,4.325121494
605552.319,5805273.849,3.971001924,605567.9741,5805273.902,4.349965818
605552.1781,5805277.65,3.996562749,605567.6998,5805278.705,4.376453894
605551.8652,5805281.488,4.022486762,605567.2345,5805283.606,4.404440761
605551.0573,5805285.333,4.050585892,605566.1447,5805288.552,4.432836807
605549.8738,5805289.153,4.078735114,605564.9107,5805293.592,4.460639542
605548.2588,5805292.844,4.109409394,605563.0824,5805298.629,4.488685798
605546.0919,5805296.269,4.141334724,605560.6903,5805303.584,4.51450121
605543.5,5805299.404,4.172681155,605557.5807,5805308.296,4.539650506
605540.5508,5805302.236,4.20433556,605553.7666,5805312.626,4.563149879
605537.4852,5805304.965,4.236055966,605549.4176,5805316.549,4.586916563
605534.0353,5805307.373,4.266721922,605544.4749,5805319.823,4.610540009
605530.3956,5805309.667,4.293028576,605539.1204,5805322.497,4.639538107
605526.3552,5805311.624,4.313824542,605533.5144,5805324.742,4.668146266
605521.923,5805313.236,4.329642637,605527.7223,5805326.673,4.697670194
605516.9965,5805314.523,4.339779661,605521.7932,5805328.438,4.727247839
605511.655,5805315.55,4.346588826,605515.6271,5805329.817,4.75900268
605505.9278,5805316.32,4.354297579,605509.2364,5805330.985,4.790226685
605500.3604,5805317.002,4.361069189,605502.4695,5805331.933,4.817655112
605494.1577,5805317.761,4.369287278,605495.5074,5805332.517,4.84018718
605487.4122,5805318.588,4.379291639,605488.3405,5805333.065,4.849416172
605480.2839,5805319.461,4.389693029,605480.9307,5805333.445,4.849951339
605472.8376,5805320.374,4.40589687,605473.2868,5805333.836,4.843021976
605465.0945,5805321.323,4.421982509,605465.3941,5805334.096,4.835408144
605457.0324,5805322.143,4.43683708,605457.2475,5805334.318,4.829324165
605448.6796,5805322.815,4.454760276,605448.8264,5805334.391,4.825150924
605440.0548,5805323.481,4.475389505,605440.1168,5805334.356,4.825677659
