outer_x,outer_y,outer_z,inner_x,inner_y,inner_z
504913.1211,5738082.523,276.0899963,504922.4636,5738088.629,275.8500061
504916.7793582378,5738077.256837044,276.18648654958776,504925.985731493,5738083.226944075,275.9304424512515
504920.5144874832,5738071.878462106,276.24690532937575,504929.38413708727,5738078.21029995,276.0052008395406
504924.2463894034,5738066.5035966495,276.36401388521244,504933.18817190634,5738072.90673189,276.0935043798419
504927.9146435621,5738061.220521803,276.4489843398205,504936.8670363929,5738067.777595622,276.2069460486249
504931.341307747,5738056.289021135,276.5547137722711,504940.3217037011,5738063.231294641,276.289248545075
504934.2352251158,5738052.227342804,276.6131250260416,504943.3036689232,5738059.372917822,276.34351208502284
504938.2219707996,5738047.701502905,276.68817438133414,504946.82664988184,5738055.167769508,276.4419428106075
504942.394179072,5738043.053934413,276.78276695973665,504950.929310228,5738050.4087161925,276.51217374714105
504946.7000142948,5738038.257504437,276.8833585753961,504954.84748095676,5738046.106142308,276.61668268447244
504950.7043404479,5738033.786408334,276.9908620701816,504958.99705997325,5738041.850684305,276.7030133325744
504954.795919415,5738029.592439999,277.02545843586125,504963.0764471479,5738037.660519292,276.7836011981004
504959.2578746776,5738025.369613115,277.13247931711527,504967.32022813865,5738033.291478823,276.88223835137717
504963.9640153997,5738020.898369194,277.24027206306994,504971.6024218669,5738029.210947759,276.95436183945503
504968.0693384246,5738016.996220313,277.3261002128362,504975.6003855411,5738025.545218837,277.0067437234389
504972.2213871791,5738013.176327365,277.3983650443448,504979.4138346936,5738022.451334988,277.1159541181047
504977.1006926717,5738009.297990505,277.48630441850344,504984.3666510884,5738018.582995893,277.214878432768
504982.27945110464,5738005.197147937,277.5805890911493,504989.5260078348,5738014.549111785,277.3052879135472
504987.169704057,5738001.325575399,277.6581263543786,504994.36856375466,5738010.86183919,277.4168059590104
504991.4185555684,5737998.04958,277.77426369354407,504998.5495909617,5738007.70480022,277.503024234437
504996.5970106077,5737994.571120747,277.8621590361059,505003.21788370796,5738004.460418515,277.634826477097
505002.1414058935,5737990.892170218,278.0022615675784,505008.7453259248,5738000.764288326,277.7665519265775
505007.366538452,5737987.422439428,278.108260506604,505013.96191173844,5737997.265831537,277.9382628275436
505012.4445184008,5737984.036612227,278.26556071121826,505018.56469733693,5737994.360937447,278.09394250920064
505017.13743816986,5737981.092339871,278.3843410950581,505023.3088166001,5737991.575649873,278.2693927256267
505022.41130946967,5737978.258735442,278.5598020022179,505028.40752287215,5737988.563221227,278.5106085947983
505028.2463971134,5737975.133641395,278.72820923903464,505033.7461981763,5737985.642095101,278.7522085514771
505033.8099152574,5737972.156971091,278.9177465703431,505039.3713345981,5737982.702522228,279.0028785109786
505038.6143155321,5737969.6017502155,279.0740355647292,505043.88178842765,5737980.360121195,279.2480914646591
505044.3742189869,5737967.033631198,279.29636756205133,505049.2878116536,5737977.854851442,279.5400445502956
505048.0522711524,5737965.431898542,279.497796603311,505053.1242683654,5737976.088418333,279.7749277098118
505050.3268974478,5737964.317673021,279.6137559232225,505056.0650782315,5737974.584855824,279.8421884143561
505051.9172263091,5737963.3674143525,279.72243227843256,505058.6362329287,5737972.980512446,279.93757765964074
505053.38298662583,5737962.327921777,279.8121720431537,505060.9486929326,5737971.184047,280.0712233453327
505054.8571552171,5737961.038960629,279.88803348461676,505063.0756763026,5737969.185325675,280.20703055318296
505056.12104282825,5737959.483571546,279.9872414772002,505065.0866407016,5737966.994307199,280.3224087160956
505057.1824890145,5737957.875502544,280.1138267120075,505066.9419934604,5737964.5709046805,280.43596828950973
505058.0980743212,5737956.284637893,280.25699960625417,505068.5368594537,5737962.004729309,280.5574848666913
505058.8879210074,5737954.632686427,280.39525364880893,505069.77561098814,5737959.456057152,280.6752660614691
505059.49298589845,5737953.118161501,280.4875637417408,505070.75886914553,5737956.746292667,280.77588355815305
505059.93276016973,5737951.625064922,280.55542430055954,505071.49947191007,5737953.711876333,280.88034409547566
505060.3196370634,5737949.6042234525,280.69531876551855,505071.8696740618,5737950.3903948,281.0387878333052
505060.51445790025,5737947.116837024,280.8984297139394,505072.0382516043,5737947.152038114,281.19379201716
505060.458389039,5737944.686171673,281.07834369714175,505072.0115819418,5737944.117190747,281.31560126453076
505060.25024380465,5737942.764844664,281.1757855239526,505071.62572400726,5737941.112805761,281.4391958213724
505059.93317064125,5737941.06919801,281.2883049618154,505070.98640484124,5737938.1529153865,281.5874618732327
505059.43373656995,5737939.358464974,281.4455746509493,505070.141341334,5737935.301552784,281.7438023152416
505058.6633956201,5737937.5752457995,281.61167607266134,505069.0572645713,5737932.603927562,281.8807456986485
505057.71325272665,5737935.854570104,281.7559310816385,505067.683865095,5737930.0181843545,282.0158871695752
505056.6753420587,5737934.284020127,281.8830460136092,505066.029569228,5737927.570971297,282.15311909452583
505055.59172246,5737932.879171983,282.02079771100995,505064.14088147366,5737925.318685095,282.2820259389565
505054.4208008212,5737931.652021743,282.17203714688367,505062.0071182868,5737923.159437706,282.41132060076967
505052.9619818551,5737930.473221152,282.32740627914035,505059.62622125086,5737921.126163972,282.5572638796152
505051.03457962675,5737929.177032481,282.4804653511712,505057.0207730352,5737919.392451181,282.7291011530664
505049.1464479645,5737928.068522688,282.6614255243351,505054.22505139315,5737917.939700763,282.89408077570795
