outer_x,outer_y,outer_z,inner_x,inner_y,inner_z,track_width,initial_x,initial_y,initial_z,initial_position
97355.063,489293.787,5.094589584,97363.645,489290.105,5.110173524,9.338514229,97357.73669,489292.6399,5.0994447,0.311546139
97355.457,489294.707,5.094574323,97364.04,489291.023,5.110723844,9.340221892,97358.13118,489293.5592,5.099605978,0.311566818
97355.85,489295.626,5.094776483,97364.435,489291.942,5.111236258,9.342059784,97358.52543,489294.4779,5.099906016,0.311640537
97356.244,489296.545,5.094973344,97364.829,489292.861,5.111643045,9.342059784,97358.91973,489295.3968,5.100168866,0.311674552
97356.637,489297.464,5.09507306,97365.224,489293.78,5.112298848,9.343897741,97359.31396,489296.3155,5.100443134,0.31174621
97357.031,489298.384,5.095622453,97365.619,489294.698,5.112934517,9.345605384,97359.70846,489297.2348,5.1010198,0.31176796
97357.425,489299.303,5.096226736,97366.014,489295.617,5.113373545,9.346524327,97360.10281,489298.1538,5.101572623,0.311771558
97357.818,489300.222,5.096729944,97366.408,489296.536,5.114077315,9.347443287,97360.49702,489299.0724,5.102140174,0.311876085
97358.212,489301.141,5.097414753,97366.803,489297.455,5.114945045,9.348362263,97360.89137,489299.9914,5.10288211,0.311880562
97358.606,489302.061,5.09779937,97367.198,489298.374,5.115751996,9.349675556,97361.28597,489300.911,5.103399064,0.311915057
97358.999,489302.98,5.098428385,97367.593,489299.292,5.116746015,9.351907827,97361.68012,489301.8294,5.104143039,0.31197564
97359.393,489303.899,5.099170773,97367.987,489300.211,5.117563754,9.351907827,97362.07442,489302.7483,5.104909584,0.312010936
97359.787,489304.818,5.099817839,97368.382,489301.13,5.118474135,9.352826792,97362.46879,489303.6673,5.105638923,0.312017139
97360.18,489305.738,5.100692909,97368.777,489302.049,5.119484618,9.355059059,97362.86328,489304.5866,5.106558139,0.31211799
97360.574,489306.657,5.101628953,97369.172,489302.968,5.120848407,9.355978035,97363.25764,489305.5056,5.107627811,0.312124262
97360.968,489307.576,5.102192384,97369.566,489303.886,5.122183336,9.356372374,97363.65183,489306.4242,5.108432488,0.312146423
97361.361,489308.496,5.10332257,97369.961,489304.805,5.123389081,9.35860465,97364.04634,489307.3435,5.109588317,0.312248966
97361.755,489309.415,5.104235883,97370.356,489305.724,5.124765492,9.359523599,97364.44069,489308.2625,5.110646323,0.312253392
97362.148,489310.334,5.105327683,97370.751,489306.643,5.126219675,9.361361546,97364.83493,489309.1812,5.111852775,0.312325042
97362.542,489311.253,5.106636965,97371.145,489307.561,5.127776231,9.361755871,97365.22914,489310.0998,5.113239792,0.312348935
97362.936,489312.173,5.107824605,97371.54,489308.48,5.129442974,9.363069208,97365.62373,489311.0194,5.11457778,0.312381332
97363.329,489313.092,5.109135942,97371.935,489309.399,5.130989945,9.3649071,97366.01798,489311.9381,5.115964318,0.312454252
97363.723,489314.011,5.110283265,97372.33,489310.318,5.132577291,9.365826072,97366.41234,489312.8571,5.11724925,0.312459704
97364.117,489314.93,5.111653421,97372.724,489311.237,5.13426851,9.365826071,97366.80666,489313.776,5.118720553,0.31249632
97364.51,489315.85,5.113002651,97373.119,489312.155,5.1359865,9.3684527,97367.20105,489314.695,5.12018707,0.312585551
97364.904,489316.769,5.114516128,97373.514,489313.074,5.137494268,9.369371644,97367.59541,489315.614,5.121698887,0.312590952
97365.298,489317.688,5.115740827,97373.909,489313.993,5.139026214,9.370290604,97367.98977,489316.533,5.123019751,0.312596202
97365.691,489318.607,5.117242078,97374.304,489314.912,5.140576094,9.372128574,97368.38402,489317.4517,5.124537913,0.312669509
97366.085,489319.527,5.118845561,97374.698,489315.83,5.142265654,9.372917262,97368.77848,489318.3709,5.126169541,0.312722072
97366.479,489320.446,5.120108645,97375.093,489316.749,5.143787371,9.373836194,97369.17284,489319.2898,5.127513636,0.312727597
97366.872,489321.365,5.121613898,97375.488,489317.668,5.145018328,9.37567411,97369.56709,489320.2086,5.128934816,0.312800529
97367.266,489322.285,5.123405442,97375.883,489318.587,5.146218239,9.376987416,97369.96169,489321.1281,5.130542067,0.312834298
97367.659,489323.204,5.1248523,97376.277,489319.506,5.147403398,9.377906376,97370.3559,489322.0468,5.1319094,0.312938185
97368.053,489324.123,5.126161482,97376.672,489320.424,5.148760922,9.37921969,97370.75015,489322.9655,5.133233537,0.312930533
97368.447,489325.042,5.127756223,97377.067,489321.343,5.149974679,9.380138645,97371.1445,489323.8845,5.134709152,0.312934858
97368.84,489325.962,5.129196533,97377.462,489322.262,5.150988172,9.382370916,97371.539,489324.8038,5.13601812,0.313036905
97369.234,489326.881,5.13037074,97377.856,489323.181,5.151882135,9.382370916,97371.93332,489325.7226,5.137105386,0.313073399
97369.628,489327.8,5.13159895,97378.251,489324.1,5.153076254,9.383289881,97372.32768,489326.6416,5.138323039,0.313078834
97370.021,489328.719,5.132988292,97378.646,489325.018,5.154123976,9.385522149,97372.72182,489327.5601,5.139606685,0.313138356
97370.415,489329.639,5.133997873,97379.041,489325.937,5.154928455,9.386835462,97373.11644,489328.4796,5.1405528,0.313174619
97370.809,489330.558,5.134819615,97379.435,489326.856,5.155531074,9.386835462,97373.51076,489329.3985,5.141306676,0.31321121
97371.202,489331.477,5.135647452,97379.83,489327.775,5.156020018,9.388673389,97373.90503,489330.3172,5.142029881,0.313285496
97371.596,489332.396,5.136456978,97380.225,489328.693,5.156648371,9.389986688,97374.29927,489331.2359,5.142782494,0.313277841
97371.99,489333.316,5.137102242,97380.62,489329.612,5.15711938,9.391300016,97374.69389,489332.1555,5.143373861,0.313312459
97372.383,489334.235,5.137878571,97381.014,489330.531,5.157309711,9.39221896,97375.08811,489333.0741,5.143968638,0.313417884
97372.777,489335.154,5.138798022,97381.409,489331.45,5.157555722,9.393137921,97375.48247,489333.9931,5.144677115,0.313422935
97373.17,489336.073,5.139135149,97381.804,489332.369,5.157417427,9.394975891,97375.87674,489334.9118,5.144866594,0.313497307
97373.564,489336.993,5.139553493,97382.199,489333.287,5.15748166,9.39668351,97376.27124,489335.8311,5.14517432,0.313519346
97373.958,489337.912,5.139680879,97382.593,489334.206,5.157465044,9.396683511,97376.66556,489336.75,5.145257223,0.313556671
97374.351,489338.831,5.140004146,97382.988,489335.125,5.157237211,9.398521426,97377.05982,489337.6687,5.145408949,0.313629816
97374.745,489339.751,5.140097876,97383.383,489336.044,5.156936305,9.399834733,97377.45444,489338.5882,5.145379509,0.313665438
