track_id,inner_x,inner_y,inner_z,outer_x,outer_y,outer_z,
2,334000.1473,5871155.582,12.01299953,333992.37,5871166.033,12.41499996,
2,334004.1587,5871158.567,11.9630003,333996.3931,5871169.001,12.39099979,
2,334008.1711,5871161.554,11.89900017,334000.4144,5871171.968,12.37199974,
2,334012.1858,5871164.541,11.90499973,334004.4318,5871174.932,12.37800026,
2,334016.2035,5871167.531,11.86200047,334008.4439,5871177.892,12.38000011,
2,334020.22,5871170.521,11.83199978,334012.4571,5871180.853,12.35299969,
2,334024.2215,5871173.499,11.82800007,334016.4922,5871183.83,12.38099957,
2,334028.1868,5871176.45,11.76399994,334020.5811,5871186.846,12.37300014,
2,334032.096,5871179.359,11.73999977,334024.7557,5871189.927,12.37800026,
2,334036.0938,5871181.961,11.71100044,334029.0596,5871193.102,12.36800003,
2,334040.1101,5871184.223,11.67800045,334033.6395,5871196.356,12.37100029,
2,334043.9559,5871186.388,11.67500019,334038.73,5871199.653,12.36200047,
2,334047.9236,5871187.783,11.68400002,334044.8484,5871201.803,12.38199997,
2,334051.9445,5871188.485,11.68400002,334051.5922,5871202.697,12.40200043,
2,334055.9479,5871187.926,11.69400024,334058.455,5871202.191,12.3739996,
2,334059.9425,5871186.956,11.69900036,334064.8349,5871200.159,12.39900017,
2,334063.669,5871184.825,11.69099998,334070.2778,5871196.953,12.38599968,
2,334067.3517,5871182.298,11.71800041,334075.1844,5871193.734,12.38500023,
2,334071.1821,5871179.669,11.71199989,334079.4403,5871190.137,12.39099979,
2,334074.8283,5871176.609,11.7130003,334083.5498,5871186.663,12.38199997,
2,334078.3637,5871173.329,11.69999981,334087.5909,5871183.246,12.3739996,
2,334081.9298,5871170.02,11.71500015,334091.5937,5871179.863,12.35200024,
2,334085.3969,5871166.558,11.70100021,334095.5658,5871176.505,12.33399963,
2,334088.7791,5871162.968,11.65799999,334099.4797,5871173.153,12.3210001,
2,334092.1809,5871159.357,11.64400005,334103.355,5871169.828,12.31000042,
2,334095.5965,5871155.732,11.64599991,334107.2028,5871166.528,12.29800034,
2,334099.0236,5871152.094,11.6079998,334111.0217,5871163.252,12.27099991,
2,334102.4764,5871148.429,11.57999992,334114.7646,5871160.041,12.25899982,
2,334105.9801,5871144.71,11.54399967,334118.3484,5871156.967,12.23200035,
2,334109.5488,5871140.922,11.55700016,334121.7428,5871154.055,12.23400021,
2,334113.4791,5871137.452,11.5710001,334125.047,5871151.22,12.22700024,
2,334117.677,5871134.378,11.58199978,334128.4351,5871148.314,12.22700024,
2,334121.7974,5871131.361,11.5880003,334132.0114,5871145.246,12.20899963,
2,334125.8564,5871128.388,11.60499954,334135.7496,5871142.04,12.20600033,
2,334129.8863,5871125.437,11.60700035,334139.563,5871138.768,12.1789999,
2,334133.9126,5871122.489,11.60200024,334143.3862,5871135.489,12.17500019,
2,334137.9459,5871119.536,11.60999966,334147.2074,5871132.24,12.16399956,
2,334141.9879,5871116.576,11.625,334151.0128,5871129.01,12.1789999,
2,334146.0338,5871113.613,11.65200043,334154.81,5871125.787,12.15799999,
2,334150.0616,5871110.664,11.66699982,334158.6376,5871122.539,12.13099957,
2,334154.029,5871107.758,11.66499996,334162.5637,5871119.207,12.13599968,
2,334157.8948,5871104.928,11.69099998,334166.6529,5871115.736,12.10099983,
2,334161.5548,5871102.059,11.70199966,334170.9439,5871112.094,12.13799953,
2,334164.5036,5871098.667,11.67099953,334175.4581,5871108.21,12.13199997,
2,334167.3609,5871095.38,11.70300007,334179.7515,5871103.611,12.13799953,
2,334169.6855,5871091.768,11.68900013,334183.1031,5871098.04,12.14900017,
2,334171.0481,5871087.675,11.66699982,334185.6554,5871092.072,12.15499973,
2,334171.8714,5871083.295,11.6619997,334187.0546,5871086.102,12.1260004,
2,334172.3426,5871078.597,11.66300011,334187.5546,5871080.59,12.12100029,
2,334172.7617,5871073.632,11.6590004,334187.9201,5871075.62,12.13500023,
2,334173.449,5871068.574,11.67500019,334188.2691,5871070.873,12.13599968,
2,334174.5899,5871063.639,11.68299961,334188.6498,5871066.012,12.15200043,
2,334175.704,5871058.819,11.69099998,334189.0542,5871060.915,12.16499996,
2,334176.182,5871053.971,11.70499992,334189.4685,5871055.693,12.17599964,
2,334176.6426,5871049.112,11.70699978,334189.8798,5871050.508,12.17599964,
2,334177.1087,5871044.193,11.71800041,334190.2829,5871045.427,12.19799995,
2,334177.5794,5871039.228,11.70100021,334190.6797,5871040.425,12.21100044,
2,334178.0518,5871034.244,11.71100044,334191.0743,5871035.451,12.21700001,
2,334178.5242,5871029.26,11.69799995,334191.4689,5871030.477,12.21899986,
2,334178.9963,5871024.28,11.69699955,334191.864,5871025.497,12.21500015,
2,334179.4681,5871019.301,11.69999981,334192.2593,5871020.513,12.22500038,
2,334179.9399,5871014.323,11.7130003,334192.6548,5871015.529,12.23799992,
2,334180.4117,5871009.346,11.70899963,334193.0689,5871010.545,12.23700047,
2,334180.8836,5871004.368,11.71500015,334193.4831,5871005.562,12.23900032,
2,334181.3554,5870999.39,11.71800041,334193.8972,5871000.58,12.23700047,
2,334181.8273,5870994.412,11.71199989,334194.3114,5870995.598,12.24300003,
